"","no","title","artist","year"
"240","40","Tuff","Ace Cannon","1962"
"241","41","Lover Please","Clyde McPhatter","1962"
"242","42","I Know (You Don't Love Me No More)","Barbara George","1962"
"243","43","Young World","Ricky Nelson","1962"
"244","44","Baby It's You","The Shirelles","1962"
"245","45","Speedy Gonzales","Pat Boone","1962"
"246","46","A Little Bitty Tear","Burl Ives","1962"
"247","47","Crying in the Rain","The Everly Brothers","1962"
"248","48","Al di là","Emilio Pericoli","1962"
"249","49","Shout! Shout! (Knock Yourself Out)","Ernie Maresca","1962"
"250","50","What's Your Name","Don and Juan","1962"
"251","51","Smoky Places","The Corsairs","1962"
"252","52","Having a Party","Sam Cooke","1962"
"253","53","Green Onions","Booker T. & the M.G.'s","1962"
"254","54","You Don't Know Me","Ray Charles","1962"
"255","55","Sherry","The Four Seasons","1962"
"256","56","Johnny Get Angry","Joanie Sommers","1962"
"257","57","Can't Help Falling in Love","Elvis Presley","1962"
"258","58","Shout","Joey Dee and the Starliters","1962"
"259","59","Rinky Dink","Dave ""Baby"" Cortez","1962"
"260","60","Moon River","Henry Mancini","1962"
"261","61","Ahab the Arab","Ray Stevens","1962"
"262","62","Things","Bobby Darin","1962"
"263","63","(The Man Who Shot) Liberty Valance","Gene Pitney","1962"
"264","64","You Belong to Me","The Duprees","1962"
"265","65","Dream Baby (How Long Must I Dream)","Roy Orbison","1962"
"266","66","Snap Your Fingers","Joe Henderson","1962"
"267","67","Lovers Who Wander","Dion","1962"
"268","68","Let's Dance","Chris Montez","1962"
"269","69","Cindy's Birthday","Johnny Crawford","1962"
"270","70","You Beat Me to the Punch","Mary Wells","1962"
"271","71","You'll Lose a Good Thing","Barbara Lynn","1962"
"272","72","Uptown","The Crystals","1962"
"273","73","Everybody Loves Me But You","Brenda Lee","1962"
"274","74","Patches","Dickey Lee","1962"
"275","75","Venus in Blue Jeans","Jimmy Clanton","1962"
"276","76","Love Me Warm and Tender","Paul Anka","1962"
"277","77","Teen Age Idol","Rick Nelson","1962"
"278","78","She's Got You","Patsy Cline","1962"
"279","79","Dear One","Larry Finnegan","1962"
"280","80","Her Royal Majesty","James Darren","1962"
"281","81","Old Rivers","Walter Brennan","1962"
"282","82","Funny Way of Laughin'","Burl Ives","1962"
"283","83","A Swingin' Safari","Billy Vaughn","1962"
"284","84","Tell Me","Dick and Dee Dee","1962"
"285","85","PT-109","Jimmy Dean","1962"
"286","86","Little Diane","Dion","1962"
"287","87","Percolator (Twist)","Billy Joe and the Checkmates","1962"
"288","88","Twist, Twist, Señora","Gary U.S. Bonds","1962"
"289","89","Twistin' Matilda","Jimmy Soul","1962"
"290","90","Gravy (For My Mashed Potatoes)","Dee Dee Sharp","1962"
"291","91","Walk on the Wild Side","Jimmy Smith","1962"
"292","92","Soul Twist","King Curtis","1962"
"293","93","I'll Never Dance Again","Bobby Rydell","1962"
"294","94","I'm Blue (The Gong-Gong Song)","The Ikettes","1962"
"295","95","Where Have All the Flowers Gone?","The Kingston Trio","1962"
"296","96","(Girls, Girls, Girls) Made to Love","Eddie Hodges","1962"
"297","97","Town Without Pity","Gene Pitney","1962"
"298","98","If I Had a Hammer","Peter, Paul and Mary","1962"
"299","99","I Wish That We Were Married","Ronnie & the Hi-Lites","1962"
"300","100","Surfin' Safari","The Beach Boys","1962"
"301","1","Sugar Shack","The Fireballs","1963"
"302","2","Surfin' U.S.A.","The Beach Boys","1963"
"303","3","The End of the World","Skeeter Davis","1963"
"304","4","Rhythm of the Rain","The Cascades","1963"
"305","5","He's So Fine","The Chiffons","1963"
"306","6","Blue Velvet","Bobby Vinton","1963"
"307","7","Hey Paula","Paul & Paula","1963"
"308","8","Fingertips","Little Stevie Wonder","1963"
"309","9","Washington Square","The Village Stompers","1963"
"310","10","It's All Right","The Impressions","1963"
"311","11","Can't Get Used to Losing You","Andy Williams","1963"
"312","12","My Boyfriend's Back","The Angels","1963"
"313","13","Sukiyaki","Kyu Sakamoto","1963"
"314","14","She's a Fool","Lesley Gore","1963"
"315","15","So Much in Love","The Tymes","1963"
"316","16","Puff, the Magic Dragon","Peter, Paul & Mary","1963"
"317","17","Blowin' in the Wind","Peter, Paul & Mary","1963"
"318","18","I'm Leaving It Up to You","Dale & Grace","1963"
"319","19","Deep Purple","Nino Tempo & April Stevens","1963"
"320","20","Wipe Out","The Surfaris","1963"
"321","21","I Love You Because","Al Martino","1963"
"322","22","Wild Weekend","The Rebels","1963"
"323","23","You're the Reason I'm Living","Bobby Darin","1963"
"324","24","Walk Like a Man","The Four Seasons","1963"
"325","25","Mockingbird","Inez & Charlie Foxx","1963"
"326","26","I Will Follow Him","Little Peggy March","1963"
"327","27","Pipeline","The Chantays","1963"
"328","28","Surf City","Jan & Dean","1963"
"329","29","It's My Party","Lesley Gore","1963"
"330","30","Blame It on the Bossa Nova","Eydie Gormé","1963"
"331","31","You Can't Sit Down","The Dovells","1963"
"332","32","Heat Wave","Martha & the Vandellas","1963"
"333","33","Denise","Randy & the Rainbows","1963"
"334","34","Walk Right In","The Rooftop Singers","1963"
"335","35","If You Wanna Be Happy","Jimmy Soul","1963"
"336","36","Surfer Girl","The Beach Boys","1963"
"337","37","If I Had a Hammer","Trini Lopez","1963"
"338","38","Everybody","Tommy Roe","1963"
"339","39","Easier Said Than Done","The Essex","1963"
"340","40","Ruby Baby","Dion","1963"
"341","41","Maria Elena","Los Indios Tabajaras","1963"
"342","42","Our Day Will Come","Ruby & the Romantics","1963"
"343","43","I Can't Stay Mad at You","Skeeter Davis","1963"
"344","44","Hello Stranger","Barbara Lewis","1963"
"345","45","Be My Baby","The Ronettes","1963"
"346","46","Mean Woman Blues","Roy Orbison","1963"
"347","47","South Street","The Orlons","1963"
"348","48","Days of Wine and Roses","Henry Mancini","1963"
"349","49","The Monkey Time","Major Lance","1963"
"350","50","Candy Girl","The Four Seasons","1963"
"351","51","Still","Bill Anderson","1963"
"352","52","Blue on Blue","Bobby Vinton","1963"
"353","53","Cry Baby","Garnet Mimms & and the Enchanters","1963"
"354","54","Two Faces Have I","Lou Christie","1963"
"355","55","Busted","Ray Charles","1963"
"356","56","Da Doo Ron Ron","The Crystals","1963"
"357","57","Foolish Little Girl","The Shirelles","1963"
"358","58","Memphis, Tennessee","Lonnie Mack","1963"
"359","59","In Dreams","Roy Orbison","1963"
"360","60","More","Kai Winding","1963"
"361","61","Fools Rush In","Rick Nelson","1963"
"362","62","Losing You","Brenda Lee","1963"
"363","63","Our Winter Love","Bill Pursell","1963"
"364","64","I Wanna Be Around","Tony Bennett","1963"
"365","65","You've Really Got a Hold on Me","The Miracles","1963"
"366","66","Sally Go 'Round the Roses","The Jaynetts","1963"
"367","67","Little Red Rooster","Sam Cooke","1963"
"368","68","Then He Kissed Me","The Crystals","1963"
"369","69","(You're the) Devil in Disguise","Elvis Presley","1963"
"370","70","Those Lazy-Hazy-Crazy Days of Summer","Nat King Cole","1963"
"371","71","Baby Workout","Jackie Wilson","1963"
"372","72","Pride and Joy","Marvin Gaye","1963"
"373","73","Walking the Dog","Rufus Thomas","1963"
"374","74","From a Jack to a King","Ned Miller","1963"
"375","75","Up on the Roof","The Drifters","1963"
"376","76","What Will My Mary Say","Johnny Mathis","1963"
"377","77","Mama Didn't Lie","Jan Bradley","1963"
"378","78","The Night Has a Thousand Eyes","Bobby Vee","1963"
"379","79","Don't Say Nothin' Bad (About My Baby)","The Cookies","1963"
"380","80","Ring of Fire","Johnny Cash","1963"
"381","81","Just One Look","Doris Troy","1963"
"382","82","Hello Muddah, Hello Faddah! (A Letter from Camp)","Allan Sherman","1963"
"383","83","Judy's Turn to Cry","Lesley Gore","1963"
"384","84","Tie Me Kangaroo Down, Sport","Rolf Harris","1963"
"385","85","Mickey's Monkey","The Miracles","1963"
"386","86","Donna the Prima Donna","Dion","1963"
"387","87","That Sunday, That Summer","Nat King Cole","1963"
"388","88","Another Saturday Night","Sam Cooke","1963"
"389","89","Painted, Tainted Rose","Al Martino","1963"
"390","90","(Down At) Papa Joe's","Dixie Belles","1963"
"391","91","Go Away Little Girl","Steve Lawrence","1963"
"392","92","Take These Chains from My Heart","Ray Charles","1963"
"393","93","Talk to Me","Sunny & the Sunglows","1963"
"394","94","Come and Get These Memories","Martha and the Vandellas","1963"
"395","95","Bossa Nova Baby","Elvis Presley","1963"
"396","96","Do the Bird","Dee Dee Sharp","1963"
"397","97","Shut Down","The Beach Boys","1963"
"398","98","One Fine Day","The Chiffons","1963"
"399","99","500 Miles","Bobby Bare","1963"
"400","100","Little Town Flirt","Del Shannon","1963"
"401","1","I Want to Hold Your Hand","The Beatles","1964"
"402","2","She Loves You","The Beatles","1964"
"403","3","Hello, Dolly!","Louis Armstrong","1964"
"404","4","Oh, Pretty Woman","Roy Orbison","1964"
"405","5","I Get Around","The Beach Boys","1964"
"406","6","Everybody Loves Somebody","Dean Martin","1964"
"407","7","My Guy","Mary Wells","1964"
"408","8","We'll Sing in the Sunshine","Gale Garnett","1964"
"409","9","Last Kiss","J. Frank Wilson & the Cavaliers","1964"
"410","10","Where Did Our Love Go","The Supremes","1964"
"411","11","People","Barbra Streisand","1964"
"412","12","Java","Al Hirt","1964"
"413","13","A Hard Day's Night","The Beatles","1964"
"414","14","Love Me Do","The Beatles","1964"
"415","15","Do Wah Diddy Diddy","Manfred Mann","1964"
"416","16","Please Please Me","The Beatles","1964"
"417","17","Dancing in the Street","Martha and the Vandellas","1964"
"418","18","Little Children","Billy J. Kramer & The Dakotas","1964"
"419","19","Love Me with All Your Heart (Cuando Calienta El Sol)","The Ray Charles Singers","1964"
"420","20","Under the Boardwalk","The Drifters","1964"
"421","21","Chapel of Love","The Dixie Cups","1964"
"422","22","Suspicion","Terry Stafford","1964"
